mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
27.6,3,94.4,181.8,4989,16.5,78,japan,car_model_1
28.2,3,380.8,,2608,18.6,76,europe,car_model_2
33.4,3,303.3,171.7,2939,14.7,70,usa,car_model_3
36.3,8,294.1,183.7,3563,12.5,71,europe,car_model_4
34.1,5,287.1,225.6,1712,17,71,usa,car_model_5
11.3,4,77.5,,3239,10.3,73,europe,car_model_6
27.4,5,311.5,122.1,4358,10.4,70,japan,car_model_7
15.1,8,254.7,199,3558,14.9,82,japan,car_model_8
30.4,8,148.2,,2505,13.6,81,japan,car_model_9
14.8,5,149,87.1,2499,10.8,73,japan,car_model_10
32.6,5,115.1,220,2102,16.7,74,usa,car_model_11
35.4,5,376.4,78,4642,11.4,70,usa,car_model_12
36.6,4,191.3,163.1,3797,19,75,europe,car_model_13
34.6,8,384,112.3,2641,16.5,75,europe,car_model_14
22.5,4,337.7,143.8,4273,12.5,70,europe,car_model_15
16.5,4,270,80.3,3414,14.4,71,japan,car_model_16
31.6,4,225.3,,3190,12.9,80,europe,car_model_17
21.2,4,277.7,59.5,4088,16.5,74,usa,car_model_18
23.4,8,410.9,,4189,13.2,74,japan,car_model_19
22.3,6,265.7,146.7,3327,18.5,82,europe,car_model_20
15.7,8,415.6,146.7,4430,16.7,77,europe,car_model_21
38.3,3,126.6,146.7,2523,18.9,77,usa,car_model_22
13.7,3,136.1,146.7,4188,14.9,72,europe,car_model_23
36.9,6,213,146.7,3634,16.5,80,usa,car_model_24
19.8,6,194.3,146.7,2225,19.9,70,europe,car_model_25
14.5,4,94.1,146.7,4781,11.3,77,usa,car_model_26
18.5,6,209.2,,1690,10.7,81,europe,car_model_27
11.6,3,214.4,146.7,4417,11.7,77,europe,car_model_28
18.9,5,204.2,146.7,1835,12.8,71,europe,car_model_29
30.5,3,118.1,146.7,2025,14.6,82,usa,car_model_30
33.9,4,272.5,146.7,4012,12.6,75,usa,car_model_31
15.3,3,255.2,146.7,3634,18.4,71,europe,car_model_32
20.5,3,370,146.7,4485,9.4,81,japan,car_model_33
14.4,4,174.6,146.7,2603,13,74,japan,car_model_34
20.9,5,364.4,146.7,3845,15.9,74,europe,car_model_35
11.1,5,254.8,146.7,3228,8.5,74,usa,car_model_36
11,3,322.7,146.7,3218,12.6,71,japan,car_model_37
13.2,5,257.9,146.7,2173,11.4,81,usa,car_model_38
35.3,8,405.1,146.7,3975,14.8,82,japan,car_model_39
23.6,8,249.4,146.7,4671,19.4,79,usa,car_model_40
33.1,8,389.3,146.7,4071,19.5,82,europe,car_model_41
22.7,3,148.8,146.7,2305,10.6,75,japan,car_model_42
36.6,3,218.3,146.7,1662,19.8,78,usa,car_model_43
23.4,6,96.8,146.7,3151,17.3,82,japan,car_model_44
12.3,4,165.1,146.7,2449,16.9,73,usa,car_model_45
38.6,3,99,146.7,3076,8.4,76,usa,car_model_46
31.8,3,72.9,146.7,4879,14,78,europe,car_model_47
23.6,8,219.6,146.7,4079,19.2,72,usa,car_model_48
33.5,3,219.2,146.7,2171,9.7,75,japan,car_model_49
15.8,3,436.4,146.7,2719,15.1,77,japan,car_model_50
